Hidden,Layers,Learning Rate,Keep Probability,Epochs,Batch Size,Average Score
10,3,0.0001,0.5,25,100,0.529404866
10,3,0.0001,0.9,45,100,0.529174164
10,3,1.00E-05,0.75,65,50,0.528616635
25,2,1.00E-05,0.5,45,25,0.528463795
10,2,0.0001,0.75,45,50,0.528185031
50,3,1.00E-05,0.75,45,25,0.527640959
50,1,1.00E-05,0.5,45,50,0.527600586
25,1,1.00E-05,0.9,25,50,0.52745063
50,3,1.00E-05,0.5,65,25,0.52668643
10,2,1.00E-05,0.9,45,50,0.526112559
25,2,1.00E-05,0.9,25,25,0.526051039
10,3,1.00E-05,0.75,65,100,0.525989518
50,3,1.00E-05,0.9,65,100,0.525952029
50,2,1.00E-05,0.75,25,25,0.525680955
25,3,1.00E-05,0.9,45,25,0.525418532
25,1,1.00E-05,0.5,65,25,0.524236185
10,1,0.0001,0.5,65,100,0.52375075
10,2,1.00E-05,0.75,25,100,0.523713261
50,3,1.00E-05,0.5,65,50,0.523600794
25,2,1.00E-05,0.75,25,25,0.523552731
10,3,0.0001,0.75,25,100,0.523322029
25,2,1.00E-05,0.75,65,25,0.522024331
25,2,1.00E-05,0.9,45,25,0.521670589
50,3,1.00E-05,0.75,25,50,0.521048655
50,1,1.00E-05,0.75,25,50,0.519223227
50,2,1.00E-05,0.75,65,25,0.518952152
10,2,1.00E-05,0.9,25,25,0.518823344
50,2,1.00E-05,0.75,45,100,0.518683962
10,2,1.00E-05,0.5,65,50,0.518252357
10,2,1.00E-05,0.5,65,100,0.518228326
25,3,1.00E-05,0.9,25,100,0.51820141
25,1,1.00E-05,0.75,45,100,0.517616966
10,1,1.00E-05,0.5,25,25,0.517501615
25,2,1.00E-05,0.9,65,100,0.517174787
10,3,1.00E-05,0.5,25,25,0.517120957
10,1,1.00E-05,0.5,45,50,0.517019064
25,2,1.00E-05,0.9,65,25,0.516896023
10,1,1.00E-05,0.5,65,25,0.516828735
50,1,1.00E-05,0.75,45,25,0.516692236
25,2,1.00E-05,0.75,45,50,0.516474992
10,3,1.00E-05,0.5,65,25,0.51639713
25,3,1.00E-05,0.9,45,100,0.515882857
25,2,1.00E-05,0.9,45,50,0.515737707
25,2,1.00E-05,0.5,25,25,0.515611783
10,1,1.00E-05,0.75,45,100,0.51557141
50,3,1.00E-05,0.5,25,25,0.515234009
25,2,1.00E-05,0.75,65,50,0.513987258
25,1,1.00E-05,0.5,25,25,0.513976684
25,1,0.0001,0.75,25,100,0.513504706
25,2,1.00E-05,0.75,25,50,0.513491249
10,1,1.00E-05,0.5,45,100,0.512625156
25,1,0.0001,0.5,25,50,0.512400221
50,1,1.00E-05,0.5,25,100,0.512212776
10,2,1.00E-05,0.75,45,50,0.511571618
25,1,1.00E-05,0.9,65,100,0.51139763
50,2,1.00E-05,0.5,25,25,0.511193843
10,2,0.0001,0.9,25,100,0.510840101
10,3,1.00E-05,0.9,65,100,0.510371007
50,2,1.00E-05,0.5,65,25,0.510279687
50,1,1.00E-05,0.5,65,100,0.510252772
50,1,1.00E-05,0.9,45,100,0.510164337
